train_no,train_name,station,average_delay_min,right_time_0_15,slight_delay_15_60,significant_delay_60+
12301,Rajdhani Express,"ASANSOL JN (ASN)
								
Avg. Delay: 14 Min's",14.0,1.0,0.0,0.0
12301,Rajdhani Express,"DHANBAD JN (DHN)
								
Avg. Delay: 2 Min's",2.0,1.0,0.0,0.0
12301,Rajdhani Express,"GAYA JN (GAYA)
								
Avg. Delay: 3 Min's",3.0,1.0,0.0,0.0
12301,Rajdhani Express,"HOWRAH JN (HWH)
								
Avg. Delay: 0 Min's",0.0,1.0,0.0,0.0
12301,Rajdhani Express,"KANPUR CENTRAL (CNB)
								
Avg. Delay: 18 Min's",18.0,0.0,1.0,0.0
12301,Rajdhani Express,"NEW DELHI (NDLS)
								
Avg. Delay: 17 Min's",17.0,0.0,1.0,0.0
12301,Rajdhani Express,"PARASNATH (PNME)
								
Avg. Delay: 12 Min's",12.0,1.0,0.0,0.0
12301,Rajdhani Express,"PRAYAGRAJ JN (PRYJ)
								
Avg. Delay: 14 Min's",14.0,1.0,0.0,0.0
12301,Rajdhani Express,"PT DEEN DAYAL UPADHYAY JN (DDU)
								
Avg. Delay: 10 Min's",10.0,1.0,0.0,0.0
12302,Rajdhani Express,"ASANSOL JN (ASN)
								
Avg. Delay: 34 Min's",34.0,0.0,1.0,0.0
12302,Rajdhani Express,"DHANBAD JN (DHN)
								
Avg. Delay: 21 Min's",21.0,0.0,1.0,0.0
12302,Rajdhani Express,"GAYA JN (GAYA)
								
Avg. Delay: 22 Min's",22.0,0.0,1.0,0.0
12302,Rajdhani Express,"HOWRAH JN (HWH)
								
Avg. Delay: 16 Min's",16.0,0.0,1.0,0.0
12302,Rajdhani Express,"KANPUR CENTRAL (CNB)
								
Avg. Delay: 21 Min's",21.0,0.0,1.0,0.0
12302,Rajdhani Express,"NEW DELHI (NDLS)
								
Avg. Delay: 10 Min's",10.0,1.0,0.0,0.0
12302,Rajdhani Express,"PARASNATH (PNME)
								
Avg. Delay: 33 Min's",33.0,0.0,1.0,0.0
12302,Rajdhani Express,"PRAYAGRAJ JN (PRYJ)
								
Avg. Delay: 19 Min's",19.0,0.0,1.0,0.0
12302,Rajdhani Express,"PT DEEN DAYAL UPADHYAY JN (DDU)
								
Avg. Delay: 16 Min's",16.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"ACHHNERA JN (AH)
								
Avg. Delay: 33 Min's",33.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"AGRA FORT (AF)
								
Avg. Delay: 32 Min's",32.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"ANUGRAHA N ROAD (AUBR)
								
Avg. Delay: 8 Min's",8.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"ASANSOL JN (ASN)
								
Avg. Delay: 8 Min's",8.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"BARDDHAMAN JN (BWN)
								
Avg. Delay: 18 Min's",18.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"BHABUA ROAD (BBU)
								
Avg. Delay: 4 Min's",4.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"BHARATPUR JN (BTE)
								
Avg. Delay: 35 Min's",35.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"DEGANA JN (DNA)
								
Avg. Delay: 16 Min's",16.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"DEHRI ON SONE (DOS)
								
Avg. Delay: 7 Min's",7.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"DHANBAD JN (DHN)
								
Avg. Delay: 5 Min's",5.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"ETAWAH (ETW)
								
Avg. Delay: 43 Min's",43.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"FATEHPUR (FTP)
								
Avg. Delay: 21 Min's",21.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"GAYA JN (GAYA)
								
Avg. Delay: 4 Min's",4.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"HOWRAH JN (HWH)
								
Avg. Delay: 1 Min's",1.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"JAIPUR (JP)
								
Avg. Delay: 23 Min's",23.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"JODHPUR JN (JU)
								
Avg. Delay: -12 Min's",-12.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"KANPUR CENTRAL (CNB)
								
Avg. Delay: 28 Min's",28.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"KODERMA (KQR)
								
Avg. Delay: 16 Min's",16.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"KUCHAMAN CITY (KMNC)
								
Avg. Delay: 17 Min's",17.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"MAKRANA JN (MKN)
								
Avg. Delay: 18 Min's",18.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"MERTA ROAD JN (MTD)
								
Avg. Delay: 11 Min's",11.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"MIRZAPUR (MZP)
								
Avg. Delay: 13 Min's",13.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"NAWA CITY (NAC)
								
Avg. Delay: 17 Min's",17.0,0.0,1.0,0.0
12307,Howrah Jodhpur Express,"PARASNATH (PNME)
								
Avg. Delay: 11 Min's",11.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"PRAYAGRAJ JN (PRYJ)
								
Avg. Delay: 10 Min's",10.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"PT DEEN DAYAL UPADHYAY JN (DDU)
								
Avg. Delay: 5 Min's",5.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"RAFIGANJ (RFJ)
								
Avg. Delay: 4 Min's",4.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"SASARAM (SSM)
								
Avg. Delay: 8 Min's",8.0,1.0,0.0,0.0
12307,Howrah Jodhpur Express,"TUNDLA JN (TDL)
								
Avg. Delay: 3 Min's",3.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"ACHHNERA JN (AH)
								
Avg. Delay: 27 Min's",27.0,0.0,1.0,0.0
12308,Jodhpur Howrah Express,"AGRA FORT (AF)
								
Avg. Delay: 29 Min's",29.0,0.0,1.0,0.0
12308,Jodhpur Howrah Express,"ANUGRAHA N ROAD (AUBR)
								
Avg. Delay: 99 Min's",99.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"ASANSOL JN (ASN)
								
Avg. Delay: 99 Min's",99.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"BARDDHAMAN JN (BWN)
								
Avg. Delay: 95 Min's",95.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"BHABUA ROAD (BBU)
								
Avg. Delay: 96 Min's",96.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"BHARATPUR JN (BTE)
								
Avg. Delay: 15 Min's",15.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"DEGANA JN (DNA)
								
Avg. Delay: 13 Min's",13.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"DEHRI ON SONE (DOS)
								
Avg. Delay: 100 Min's",100.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"DHANBAD JN (DHN)
								
Avg. Delay: 100 Min's",100.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"ETAWAH (ETW)
								
Avg. Delay: 17 Min's",17.0,0.0,1.0,0.0
12308,Jodhpur Howrah Express,"FATEHPUR (FTP)
								
Avg. Delay: 38 Min's",38.0,0.0,1.0,0.0
12308,Jodhpur Howrah Express,"GAYA JN (GAYA)
								
Avg. Delay: 104 Min's",104.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"HOWRAH JN (HWH)
								
Avg. Delay: 63 Min's",63.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"JAIPUR (JP)
								
Avg. Delay: 9 Min's",9.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"JODHPUR JN (JU)
								
Avg. Delay: 6 Min's",6.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"KANPUR CENTRAL (CNB)
								
Avg. Delay: 20 Min's",20.0,0.0,1.0,0.0
12308,Jodhpur Howrah Express,"KODERMA (KQR)
								
Avg. Delay: 103 Min's",103.0,0.0,0.0,1.0
12308,Jodhpur Howrah Express,"KUCHAMAN CITY (KMNC)
								
Avg. Delay: 15 Min's",15.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"MAKRANA JN (MKN)
								
Avg. Delay: 13 Min's",13.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"MERTA ROAD JN (MTD)
								
Avg. Delay: 15 Min's",15.0,1.0,0.0,0.0
12308,Jodhpur Howrah Express,"MIRZAPUR (MZP)
								
Avg. Delay: 101 Min's",101.0,0.0,0.0,1.0
