Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
CBE,COIMBATORE JN ,7,90.38,3.85,1.92,3.85
TUP,TIRUPPUR ,20,57.69,36.54,1.92,3.85
ED,ERODE JN ,25,38.46,55.77,1.92,3.85
SA,SALEM JN ,33,34.62,57.69,3.85,3.85
JTJ,JOLARPETTAI ,31,55.77,28.85,11.54,3.85
KPD,KATPADI JN ,38,51.92,30.77,13.46,3.85
AJJ,ARAKKONAM ,44,42.31,32.69,19.23,5.77
PER,PERAMBUR ,48,34.62,40.38,19.23,5.77
OGL,ONGOLE ,63,30.77,46.15,17.31,5.77
BZA,VIJAYAWADA JN ,60,34.62,40.38,21.15,3.85
RJY,RAJAMUNDRY ,83,21.15,38.46,36.54,3.85
VSKP,VISHAKAPATNAM ,77,42.31,28.85,25.00,3.85
VZM,VIZIANAGRAM JN ,87,25.00,34.62,36.54,3.85
CHE,SRIKAKULAM ROAD ,92,17.31,42.31,36.54,3.85
PSA,PALASA ,81,36.54,30.77,28.85,3.85
BAM,BRAHMAPUR ,82,34.62,30.77,30.77,3.85
BALU,BALUGAN ,92,25.00,38.46,32.69,3.85
KUR,KHURDA ROAD JN ,104,15.38,40.38,40.38,3.85
BBS,BHUBANESWAR ,105,9.62,46.15,40.38,3.85
CTC,CUTTACK ,113,5.77,46.15,44.23,3.85
JJKR,JAJPUR K ROAD ,130,3.85,34.62,57.69,3.85
BHC,BHADRAKH ,108,19.23,36.54,40.38,3.85
BLS,BALASORE ,119,11.54,34.62,50.00,3.85
KGP,KHARAGPUR JN ,128,13.46,32.69,50.00,3.85
DKAE,DANKUNI ,145,5.77,26.92,55.77,11.54
BHP,BOLPUR S NIKTN ,165,5.77,17.31,65.38,11.54
RPH,RAMPUR HAT ,177,5.77,15.38,67.31,11.54
NFK,NEW FARAKKA JN ,172,11.54,17.31,67.31,3.85
MLDT,MALDA TOWN ,158,19.23,17.31,59.62,3.85
KNE,KISHANGANJ ,202,1.92,21.15,73.08,3.85
NJP,NEW JALPAIGURI ,190,11.54,17.31,67.31,3.85
DQG,DHUPGURI ,191,7.69,21.15,67.31,3.85
NCB,NEW COOCH BEHAR ,198,5.77,23.08,67.31,3.85
NOQ,NEW ALIPURDAUR ,200,5.77,21.15,69.23,3.85
KOJ,KOKRAJHAR ,217,3.85,17.31,75.00,3.85
NBQ,NEW BONGAIGAON ,196,11.54,15.38,69.23,3.85
BPRD,BARPETA ROAD ,217,1.92,17.31,76.92,3.85
RNY,RANGIYA JN ,247,3.85,11.54,80.77,3.85
KYQ,KAMAKHYA ,243,7.69,13.46,75.00,3.85
GHY,GUWAHATI ,276,1.92,9.62,84.62,3.85
HJI,HOJAI ,317,0.00,3.85,92.31,3.85
LMG,LUMDING JN ,324,0.00,3.85,88.46,7.69
MBG,MAIBANG ,338,0.00,0.00,96.15,3.85
NHLG,NEW HAFLONG ,342,0.00,0.00,96.15,3.85
BPB,BADARPUR JN ,311,0.00,5.77,90.38,3.85
SCL,SILCHAR ,291,3.85,9.62,82.69,3.85
