train_no,train_name,station,average_delay_min,right_time_0_15,slight_delay_15_60,significant_delay_60+
12020,Shatabdi Express,"ASANSOL JN (ASN)
								
Avg. Delay: 17 Min's",17.0,0.0,1.0,0.0
12020,Shatabdi Express,"BOKARO STL CITY (BKSC)
								
Avg. Delay: 2 Min's",2.0,1.0,0.0,0.0
12020,Shatabdi Express,"CHANDRAPURA (CRP)
								
Avg. Delay: 2 Min's",2.0,1.0,0.0,0.0
12020,Shatabdi Express,"DHANBAD JN (DHN)
								
Avg. Delay: 8 Min's",8.0,1.0,0.0,0.0
12020,Shatabdi Express,"DURGAPUR (DGR)
								
Avg. Delay: 17 Min's",17.0,0.0,1.0,0.0
12020,Shatabdi Express,"HOWRAH JN (HWH)
								
Avg. Delay: 10 Min's",10.0,1.0,0.0,0.0
12020,Shatabdi Express,"MURI (MURI)
								
Avg. Delay: 3 Min's",3.0,1.0,0.0,0.0
12020,Shatabdi Express,"RANCHI (RNC)
								
Avg. Delay: 1 Min's",1.0,1.0,0.0,0.0
12020,Shatabdi Express,"RANIGANJ (RNG)
								
Avg. Delay: 15 Min's",15.0,1.0,0.0,0.0
12303,Poorva Express,"ALIGARH JN (ALJN)
								
Avg. Delay: 80 Min's",80.0,0.0,0.0,1.0
12303,Poorva Express,"ARA (ARA)
								
Avg. Delay: 67 Min's",67.0,0.0,0.0,1.0
12303,Poorva Express,"ASANSOL JN (ASN)
								
Avg. Delay: 16 Min's",16.0,0.0,1.0,0.0
12303,Poorva Express,"BAKHTIYARPUR JN (BKP)
								
Avg. Delay: 51 Min's",51.0,0.0,1.0,0.0
12303,Poorva Express,"BARDDHAMAN JN (BWN)
								
Avg. Delay: 18 Min's",18.0,0.0,1.0,0.0
12303,Poorva Express,"BARH (BARH)
								
Avg. Delay: 45 Min's",45.0,0.0,1.0,0.0
12303,Poorva Express,"BUXAR (BXR)
								
Avg. Delay: 77 Min's",77.0,0.0,0.0,1.0
12303,Poorva Express,"CHITTARANJAN (CRJ)
								
Avg. Delay: 21 Min's",21.0,0.0,1.0,0.0
12303,Poorva Express,"DANAPUR (DNR)
								
Avg. Delay: 66 Min's",66.0,0.0,0.0,1.0
12303,Poorva Express,"DURGAPUR (DGR)
								
Avg. Delay: 9 Min's",9.0,1.0,0.0,0.0
12303,Poorva Express,"ETAWAH (ETW)
								
Avg. Delay: 83 Min's",83.0,0.0,0.0,1.0
12303,Poorva Express,"HOWRAH JN (HWH)
								
Avg. Delay: 1 Min's",1.0,1.0,0.0,0.0
12303,Poorva Express,"JAMTARA (JMT)
								
Avg. Delay: 20 Min's",20.0,0.0,1.0,0.0
12303,Poorva Express,"JAMUI (JMU)
								
Avg. Delay: 11 Min's",11.0,1.0,0.0,0.0
12303,Poorva Express,"JASIDIH JN (JSME)
								
Avg. Delay: 36 Min's",36.0,0.0,1.0,0.0
12303,Poorva Express,"JHAJHA (JAJ)
								
Avg. Delay: 6 Min's",6.0,1.0,0.0,0.0
12303,Poorva Express,"KANPUR CENTRAL (CNB)
								
Avg. Delay: 61 Min's",61.0,0.0,0.0,1.0
